index,word,count,vec_len,cos_avg
2708,chief,371345,1.1072053,0.26068828
2543,fire,370317,1.1221159,0.21494079
2515,does,370119,1.0212014,0.30330274
2916,rights,369862,1.1495451,0.28581783
2949,completed,369682,1.0137422,0.3480736
2840,arts,369558,1.1245081,0.30303168
2431,half,369257,1.1488194,0.19607295
2815,remained,367675,1.0062674,0.32992867
2922,largest,367440,1.0653368,0.34663466
2388,mother,365493,0.9712186,0.26464298
2839,character,364129,1.1151649,0.27017045
2950,includes,364110,0.9787439,0.35994214
2942,civil,363637,1.132138,0.2987201
2797,private,363595,1.1050799,0.24909943
2422,light,363410,1.1237636,0.18235165
2877,leading,361907,1.1014717,0.28351396
2988,reported,361500,1.0927265,0.32888648
2897,network,361428,1.0447161,0.30680963
2393,help,360398,1.0604001,0.24630779
2788,usually,360307,0.978433,0.31281123
2464,seen,359447,1.0293422,0.2819952
2967,groups,358633,1.0052404,0.35685873
2913,studies,358173,1.0642694,0.34021553
2956,featured,357505,1.0220566,0.3468244
2976,federal,357470,1.1015996,0.3248207
2440,full,357239,1.1242852,0.21002388
2792,episode,356622,1.0659155,0.32542604
2947,thus,355100,1.0226097,0.29549778
2914,academy,354159,1.0884191,0.30173758
2305,night,353721,1.032611,0.22250424
2971,competition,353685,1.0552174,0.28178272
2686,space,352995,1.1265864,0.2341303
2131,get,352031,0.9715373,0.27255386
2612,instead,351879,1.0963999,0.25529072
2859,china,351608,1.0376904,0.30706525
2442,must,351098,1.0985899,0.25650945
2728,robert,350917,0.9221904,0.35944024
2887,japanese,350077,1.0203742,0.32627794
2175,go,349589,1.014317,0.21923739
2899,washington,349455,1.0790554,0.3343647
2392,front,349217,1.1225593,0.22347386
2866,uk,348679,1.0395412,0.29872292
2856,directed,348475,1.1459783,0.32027403
2977,tournament,347845,1.0496957,0.3294118
2026,my,347101,0.9017756,0.19125672
2726,thomas,346445,0.92069054,0.33243316
2739,news,344310,1.1060377,0.2408353
2808,books,344233,0.99801934,0.31715852
2567,brother,343698,0.9444633,0.296887
2920,involved,343163,1.0375334,0.3094736
3049,campaign,342255,1.0839981,0.30227286
2981,independent,340304,1.1164852,0.28495717
2593,either,340194,1.1634439,0.22209623
2944,model,340064,1.1402255,0.24724674
3032,countries,339663,1.0621438,0.36155227
3018,awarded,338446,1.1153961,0.35344285
2583,able,338280,1.0916243,0.32048395
2900,japan,337954,1.0380324,0.34886107
2998,sports,337397,1.0687548,0.286615
2798,charles,336574,0.9604164,0.34881905
2751,gold,336557,1.0609363,0.2395593
2930,section,335324,1.0725348,0.27112728
3007,capital,334804,1.2190008,0.24747875
2983,kingdom,334471,1.1198175,0.30923676
